AP;AP001;Biblioteca_Central
DEV04;65:4E:03:D0:3B:F6;-30;
DEV05;8B:58:E9:3F:9E:B2;-74;
DEV06;A2:10:16:1A:D5:D4;-58;
DEV04;98:28:5F:27:20:2C;-70;
DEV01;55:5B:30:C2:3C:5C;-32;
DEV01;7F:3F:06:2D:B8:CF;-65;
DEV04;E4:90:0B:23:66:8C;-78;
DEV01;D1:1F:FC:3A:EF:75;-45;
DEV04;65:4E:03:D0:3B:F6;-73;
DEV06;7F:EE:42:E2:26:5F;-60;
DEV03;55:5B:30:C2:3C:5C;-49;
DEV02;D7:17:29:F1:FF:FC;-55;
DEV05;99:07:54:A6:4D:16;-61;
DEV06;C2:28:C1:27:32:79;-65;
DEV07;D1:7E:37:63:54:07;-71;
DEV01;83:DD:4D:35:20:A3;-31;
DEV05;87:0B:9F:0D:0E:0A;-75;
DEV05;D7:C0:0E:EA:AB:F5;-77;
DEV04;8A:16:86:EC:C7:2C;-80;
DEV05;46:B2:E7:27:27:39;-56;
DEV06;68:2F:2F:43:DB:FC;-36;
DEV01;08:89:9B:6B:90:FD;-72;
DEV06;D8:37:80:BE:73:3B;-44;
DEV03;62:AD:6D:F0:94:AF;-75;
DEV07;49:7C:61:92:43:ED;-63;
DEV04;C2:28:C1:27:32:79;-77;
DEV05;8E:26:68:AD:D5:6E;-56;
DEV01;8C:7C:A5:58:96:0E;-47;
DEV04;D7:C0:0E:EA:AB:F5;-79;
DEV05;9A:E7:4A:79:7F:4F;-84;
DEV02;83:DD:4D:35:20:A3;-80;
DEV07;E4:90:0B:23:66:8C;-74;
DEV04;C3:8A:E5:BD:5A:09;-33;
DEV05;C2:28:C1:27:32:79;-49;
DEV05;9A:E7:4A:79:7F:4F;-50;
DEV04;FB:10:A5:75:3C:5D;-64;
DEV06;8C:7C:A5:58:96:0E;-72;
DEV03;D1:7E:37:63:54:07;-86;
DEV03;D7:FF:82:B0:84:D2;-88;
DEV01;D4:C0:42:4D:1A:CA;-68;
DEV05;1C:4E:C9:69:6D:AA;-43;
