AP;AP002;Cafeteria_Principal
DEV07;F6:8C:4D:40:73:1E;-38;
DEV07;6E:45:03:5A:48:63;-65;
DEV02;DE:FF:D3:37:4E:C5;-84;
DEV04;F6:8C:4D:40:73:1E;-42;
DEV05;6E:45:03:5A:48:63;-72;
DEV03;F6:8C:4D:40:73:1E;-36;
DEV06;3C:86:79:2B:B9:E8;-85;
DEV01;F6:8C:4D:40:73:1E;-48;
DEV07;02:0C:27:BC:6C:9C;-49;
DEV04;18:DE:08:C0:1F:30;-40;
DEV04;90:03:E5:5F:FE:AD;-80;
DEV01;DE:FF:D3:37:4E:C5;-90;
DEV01;6E:45:03:5A:48:63;-52;
DEV01;6E:45:03:5A:48:63;-37;
DEV07;5B:2D:FE:9F:3C:0D;-63;
DEV07;1A:6D:5F:33:63:24;-73;
DEV03;E2:1D:AC:0C:C5:07;-31;
DEV05;F6:8C:4D:40:73:1E;-48;
DEV07;37:F4:5A:D2:2D:D6;-51;
DEV07;1E:68:19:AC:EC:65;-40;
DEV06;16:EF:73:80:64:06;-67;
DEV03;5B:2D:FE:9F:3C:0D;-46;
DEV03;D0:6D:9D:52:FE:CA;-69;
DEV05;16:EF:73:80:64:06;-75;
DEV06;83:73:83:81:AD:1E;-79;
DEV07;BC:E2:FB:74:43:2E;-41;
DEV04;DE:FF:D3:37:4E:C5;-67;
DEV05;6E:45:03:5A:48:63;-37;
DEV01;49:59:19:4C:F5:6F;-61;
DEV04;37:F4:5A:D2:2D:D6;-31;
DEV03;DE:C2:77:3B:20:5E;-75;
DEV07;FC:53:CF:F0:15:F0;-34;
DEV07;1A:6D:5F:33:63:24;-45;
DEV01;02:0C:27:BC:6C:9C;-79;
DEV04;B3:EC:F5:83:0A:26;-86;
DEV04;84:42:B0:B0:71:0F;-79;
DEV01;F4:6E:BF:F9:B7:51;-44;
