AP;AP003;Laboratorio_Sistemas
DEV03;51:5C:74:46:AE:FE;-30;
DEV05;8D:6F:75:9D:33:F6;-79;
DEV07;8A:48:6C:5C:0A:AA;-69;
DEV06;8A:48:6C:5C:0A:AA;-33;
DEV04;93:13:28:0E:E0:34;-83;
DEV05;64:40:C2:4B:4E:66;-67;
DEV05;A4:E2:D1:25:6E:88;-44;
DEV01;64:40:C2:4B:4E:66;-83;
DEV01;EA:DE:5E:2B:C4:BC;-81;
DEV04;71:0A:2E:7F:32:73;-69;
DEV04;41:C0:91:7C:71:57;-51;
DEV01;F5:85:CE:EF:23:82;-72;
DEV04;8A:48:6C:5C:0A:AA;-50;
DEV06;97:6E:7F:14:31:C8;-36;
DEV01;CA:F1:97:0C:53:67;-87;
DEV04;2D:3B:87:05:69:C0;-90;
DEV01;C1:19:D1:75:5E:FC;-33;
DEV05;AB:20:7B:85:A8:0F;-90;
DEV04;9E:35:BF:B1:D7:21;-77;
DEV01;9E:D2:EA:6D:81:F2;-88;
DEV06;93:13:28:0E:E0:34;-75;
DEV02;1E:32:4A:89:F1:58;-44;
DEV04;64:40:C2:4B:4E:66;-86;
DEV02;33:AD:B2:C2:F5:E2;-43;
DEV06;94:AA:07:12:A5:B0;-68;
DEV07;2D:03:3B:DC:B8:1B;-74;
DEV07;13:0A:A4:1C:BD:E8;-81;
DEV03;4E:5A:89:DD:58:10;-48;
DEV06;13:0A:A4:1C:BD:E8;-49;
DEV02;55:9B:9B:28:0F:0F;-42;
DEV03;79:9B:C4:33:79:78;-71;
DEV06;5D:B6:C0:DF:A4:71;-60;
DEV03;16:FD:EB:6A:F2:AA;-42;
DEV06;DC:41:79:E4:62:2F;-42;
DEV06;16:FD:EB:6A:F2:AA;-41;
