AP;AP004;Auditorio_Mayor
DEV04;56:F3:51:20:51:A9;-30;
DEV01;B7:5C:6D:78:B4:F6;-38;
DEV05;F8:AA:46:D3:D5:48;-31;
DEV04;CE:4C:01:F4:F1:F5;-50;
DEV06;8D:A1:86:13:6F:B5;-86;
DEV01;45:B2:64:81:F6:05;-72;
DEV02;45:B2:64:81:F6:05;-55;
DEV05;59:9C:D7:B6:F5:B0;-48;
DEV04;56:9D:EA:6B:39:7F;-64;
DEV01;53:FD:3C:42:37:05;-33;
DEV04;70:DF:B0:B4:F3:4C;-83;
DEV01;13:F9:C2:68:0F:16;-37;
DEV02;A0:6B:3B:8C:34:E8;-50;
DEV04;D8:D5:EF:3F:30:7C;-78;
DEV03;47:08:0C:A8:20:F5;-80;
DEV06;CE:4F:31:4F:71:75;-90;
DEV01;13:F9:C2:68:0F:16;-89;
DEV02;47:08:0C:A8:20:F5;-56;
DEV05;45:B2:64:81:F6:05;-77;
DEV04;E2:63:45:AF:F2:D2;-43;
DEV03;EC:08:E1:DA:79:77;-57;
DEV01;DD:4C:C8:36:2B:B1;-77;
DEV06;61:E1:EF:E6:A7:B4;-72;
DEV04;BC:AB:8F:CD:A1:91;-54;
DEV04;3A:78:4A:BA:E1:48;-86;
DEV02;DD:7E:28:11:B5:C6;-83;
DEV07;ED:48:AE:D3:9E:D5;-51;
DEV07;2C:8A:B8:1B:68:7A;-33;
DEV01;60:57:25:0A:93:5F;-75;
DEV01;61:0B:94:F5:A8:C6;-77;
DEV03;68:54:BA:07:4F:A9;-79;
DEV01;FB:E7:28:C0:1D:2A;-89;
DEV07;D9:84:16:E8:58:94;-49;
DEV01;A0:BA:BC:E8:76:53;-85;
DEV04;B8:A7:C3:42:01:04;-76;
DEV03;FB:E7:28:C0:1D:2A;-60;
DEV02;2D:E6:CD:F9:E4:64;-54;
DEV07;A0:6B:3B:8C:34:E8;-54;
DEV02;60:47:50:29:2F:F4;-48;
DEV06;3C:72:44:3B:B3:0E;-57;
DEV06;E2:63:45:AF:F2:D2;-37;
