AP;AP005;Salas_de_Estudio
DEV02;C4:DF:27:D5:EE:06;-72;
DEV06;72:00:3F:21:1D:8B;-49;
DEV04;90:88:8C:54:98:E9;-54;
DEV02;38:40:47:CC:3E:0C;-61;
DEV03;80:E0:19:11:5A:FD;-60;
DEV02;CE:D0:D9:67:5B:4A;-60;
DEV07;20:B7:48:AC:E1:FC;-61;
DEV05;48:F5:F4:C9:7B:9A;-60;
DEV05;38:40:47:CC:3E:0C;-44;
DEV01;C0:1C:66:B3:1D:8D;-56;
DEV05;DE:DD:C9:8F:BE:83;-62;
DEV04;6B:DC:A7:A5:6A:C6;-85;
DEV07;8E:C4:9F:04:E6:24;-84;
DEV02;B0:19:0F:71:2A:81;-56;
DEV03;2A:4C:E0:EC:82:8E;-90;
DEV03;8E:C4:9F:04:E6:24;-87;
DEV06;8E:C4:9F:04:E6:24;-77;
DEV04;20:B7:48:AC:E1:FC;-35;
DEV01;90:88:8C:54:98:E9;-57;
DEV07;15:BA:63:B9:D7:CD;-44;
DEV01;90:88:8C:54:98:E9;-57;
DEV03;46:F6:63:56:2E:0D;-57;
DEV04;A6:7F:38:86:86:2A;-85;
DEV03;BB:95:83:51:64:F7;-80;
DEV03;48:F5:F4:C9:7B:9A;-50;
DEV05;96:2F:60:8A:86:89;-37;
DEV03;21:CB:FF:76:E6:AE;-83;
DEV05;C0:1C:66:B3:1D:8D;-38;
DEV06;25:8B:79:51:BE:BE;-72;
DEV07;A6:7F:38:86:86:2A;-51;
DEV05;B3:5F:3C:9D:C1:B6;-48;
DEV03;6F:4C:74:CD:FD:A6;-54;
DEV04;CE:D0:D9:67:5B:4A;-37;
DEV06;7A:44:83:16:3D:3B;-65;
DEV04;8E:C4:9F:04:E6:24;-39;
DEV02;78:DA:B9:78:F1:4F;-86;
DEV06;C6:D4:F3:B9:D3:4E;-54;
DEV07;38:62:26:C8:E9:A1;-46;
DEV01;C0:EE:CB:12:9E:CB;-36;
DEV07;1C:AF:41:B0:6C:FA;-39;
DEV04;C1:8A:9A:F8:41:5C;-76;
DEV06;1C:AF:41:B0:6C:FA;-74;
